                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8093,                 1.9243,                 1.0829,                 0.9087,                0.83741,                0.91756,                0.76913,                0.76936,                0.71217,                 1.1538,             0.00027727,             0.00027727,             0.00027727
                      2,                0.76851,                0.68635,                 1.0422,                0.92866,                0.88034,                0.93997,                0.80747,                0.69801,                0.60919,                 1.1018,             0.00050915,             0.00050915,             0.00050915
                      3,                0.77051,                0.66939,                 1.0355,                0.91801,                0.86575,                0.93049,                0.78839,                0.73794,                 0.6151,                 1.1198,             0.00069522,             0.00069522,             0.00069522
                      4,                0.74428,                0.61651,                 1.0155,                0.87816,                0.87025,                0.92994,                0.79917,                0.65371,                0.58984,                 1.0485,             0.00062683,             0.00062683,             0.00062683
                      5,                0.71688,                 0.5755,                0.99831,                0.93272,                0.89507,                0.95064,                0.82898,                0.64272,                0.52735,                 1.0361,             0.00062683,             0.00062683,             0.00062683
                      6,                0.67606,                0.52092,                0.97357,                0.92814,                0.89164,                0.95676,                0.84716,                0.58204,                0.51691,                 1.0008,             0.00055811,             0.00055811,             0.00055811
                      7,                0.64923,                0.48387,                0.95915,                0.94416,                0.91906,                0.96151,                0.86129,                0.56611,                0.44977,                0.98983,             0.00048939,             0.00048939,             0.00048939
                      8,                 0.6258,                0.45327,                0.94608,                 0.9457,                0.92364,                0.96834,                 0.8722,                0.55445,                0.42072,                0.99127,             0.00042066,             0.00042066,             0.00042066
                      9,                0.60099,                 0.4206,                0.93325,                0.95087,                0.93451,                0.96951,                0.87828,                0.54164,                0.41505,                0.97391,             0.00035194,             0.00035194,             0.00035194
                     10,                0.58389,                0.39802,                0.92344,                0.96011,                0.93705,                0.97322,                0.88678,                0.50749,                0.40051,                0.95312,             0.00028322,             0.00028322,             0.00028322
                     11,                0.56393,                0.37399,                0.91227,                0.95701,                0.93599,                0.97392,                0.89063,                0.50275,                0.36588,                0.95307,              0.0002145,              0.0002145,              0.0002145
                     12,                0.54475,                0.35168,                0.90358,                0.96449,                0.93978,                0.97501,                0.89577,                0.48684,                0.34974,                0.94743,             0.00014577,             0.00014577,             0.00014577
