                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7671,                0.61996,                 0.9111,                0.92371,                0.83639,                0.90342,                0.76402,                0.66853,                0.47958,                0.91381,             0.00027727,             0.00027727,             0.00027727
                      2,                0.73956,                0.52773,                0.89571,                0.92233,                0.84765,                0.91189,                0.76383,                0.65077,                0.49175,                0.89656,             0.00050915,             0.00050915,             0.00050915
                      3,                 0.7336,                0.52466,                0.89445,                0.92802,                0.84022,                 0.9127,                0.77513,                0.64495,                0.47476,                0.90005,             0.00069522,             0.00069522,             0.00069522
                      4,                0.72725,                0.51356,                0.89509,                0.91944,                0.86583,                0.92016,                0.78298,                0.62369,                0.45141,                0.89249,             0.00062683,             0.00062683,             0.00062683
                      5,                0.71341,                 0.4962,                0.89059,                0.92432,                0.87052,                0.92447,                0.78875,                0.61127,                0.45042,                0.88834,             0.00062683,             0.00062683,             0.00062683
                      6,                0.69032,                0.46756,                0.88234,                0.93438,                0.87114,                0.92608,                0.79851,                0.60855,                0.42752,                0.90027,             0.00055811,             0.00055811,             0.00055811
                      7,                0.66874,                0.44347,                0.87663,                0.94553,                0.87594,                0.93179,                0.80761,                0.56449,                 0.3835,                0.87075,             0.00048939,             0.00048939,             0.00048939
                      8,                0.64975,                 0.4209,                0.87144,                 0.9463,                0.89865,                0.94061,                0.81727,                0.56239,                0.38115,                0.87492,             0.00042066,             0.00042066,             0.00042066
                      9,                0.63288,                0.40099,                0.86465,                0.94799,                0.89335,                 0.9397,                0.82461,                0.53407,                0.37395,                0.86159,             0.00035194,             0.00035194,             0.00035194
                     10,                0.61342,                0.38315,                0.86154,                0.95548,                0.89238,                 0.9408,                0.82913,                0.52307,                0.35628,                0.86294,             0.00028322,             0.00028322,             0.00028322
                     11,                0.59581,                0.36655,                0.85674,                0.95374,                0.90636,                0.94773,                0.83558,                0.50616,                0.33259,                0.86044,              0.0002145,              0.0002145,              0.0002145
                     12,                0.58016,                 0.3515,                0.85338,                0.96256,                0.90437,                0.94832,                0.84107,                0.50073,                0.32325,                0.85697,             0.00014577,             0.00014577,             0.00014577
